dia,mes,anio,Tmax,Tmin
21,10,1959,23.7,9.2
22,10,1959,26.2,13.3
23,10,1959,28.5,16
24,10,1959,28,18.4
25,10,1959,18.4,13.8
26,10,1959,16.8,12.6
27,10,1959,16.9,10.3
28,10,1959,16.5,4.8
29,10,1959,22.2,8.5
30,10,1959,24.3,13.3
31,10,1959,25.2,10
1,11,1959,29.4,12.3
2,11,1959,29.4,16.2
3,11,1959,21.6,14
4,11,1959,23,9.2
5,11,1959,25.6,13.4
6,11,1959,22.9,14.3
7,11,1959,22,13
8,11,1959,20,14.1
9,11,1959,27.5,14.8
10,11,1959,23.6,15.9
11,11,1959,27,12.5
12,11,1959,21.7,14
13,11,1959,20,7.8
14,11,1959,25.3,14.6
15,11,1959,27,13.8
16,11,1959,24.5,18.7
17,11,1959,27.6,13.2
18,11,1959,18.7,8.7
19,11,1959,23.2,8.1
20,11,1959,21.6,10.8
21,11,1959,19.3,12
22,11,1959,23.8,10
23,11,1959,22.4,12.8
24,11,1959,17.6,11.1
25,11,1959,24,7.2
26,11,1959,26.6,13.4
27,11,1959,29.4,17.9
28,11,1959,25.5,9.9
29,11,1959,28,14.3
30,11,1959,27,11.1
1,12,1959,30.6,14.9
2,12,1959,30.8,17.1
3,12,1959,24.7,14.3
4,12,1959,23,10.6
5,12,1959,22.6,12.6
6,12,1959,24,15.9
7,12,1959,26.4,18.5
8,12,1959,25,12.2
9,12,1959,19.8,8.6
10,12,1959,20.8,3.1
11,12,1959,24.2,7.4
12,12,1959,28.4,12.9
13,12,1959,28.8,17.4
14,12,1959,26.3,15.4
15,12,1959,29.3,13.8
16,12,1959,28.5,13.3
17,12,1959,32.9,16.5
18,12,1959,34.6,14.4
19,12,1959,31.6,20.7
20,12,1959,29,17.6
21,12,1959,33,14.4
22,12,1959,33.3,21.2
23,12,1959,25,13.3
24,12,1959,30.8,12.1
25,12,1959,26.3,5.6
26,12,1959,31.3,15
27,12,1959,34,16.9
28,12,1959,31.2,17.7
29,12,1959,30.6,17.4
30,12,1959,33,20.4
31,12,1959,28.8,18.1
1,1,1960,24.5,8.7
2,1,1960,26,11.9
3,1,1960,31,15.5
4,1,1960,34.2,18.6
5,1,1960,30.4,19.7
6,1,1960,32,14
7,1,1960,32.9,17.6
8,1,1960,35.7,17.2
9,1,1960,34,18.2
10,1,1960,34.4,17.2
11,1,1960,36,21.4
12,1,1960,36.3,22.9
13,1,1960,37,22.7
14,1,1960,38.1,21.9
15,1,1960,37.1,18.9
16,1,1960,34,20.2
17,1,1960,34.3,20.9
18,1,1960,34,21.3
19,1,1960,35.2,22.9
20,1,1960,28.2,17.9
21,1,1960,28.5,15.9
22,1,1960,26.3,16.4
23,1,1960,29.5,11.5
24,1,1960,30.3,14.9
25,1,1960,31.4,18.2
26,1,1960,30.8,18.2
27,1,1960,29.7,15.2
28,1,1960,30.4,18.6
29,1,1960,27.7,14.1
30,1,1960,26,11.2
31,1,1960,28,12.7
1,2,1960,26.7,14.4
2,2,1960,28.3,15.1
3,2,1960,29.2,16.5
4,2,1960,32.6,18.3
5,2,1960,25.3,14.6
6,2,1960,30.4,9.2
7,2,1960,33.3,17.1
8,2,1960,34.2,19.5
9,2,1960,35.2,18.8
10,2,1960,36,20.8
11,2,1960,36.4,22.9
12,2,1960,30,18.7
13,2,1960,35.2,20.6
14,2,1960,36.2,22.1
15,2,1960,36.7,23.2
16,2,1960,26,19.8
17,2,1960,26.8,11.8
18,2,1960,27.6,14.8
19,2,1960,31.4,16
20,2,1960,33,14.3
21,2,1960,34,17.5
22,2,1960,34.9,17.7
23,2,1960,36.3,19.5
24,2,1960,36,21.5
25,2,1960,32,21.9
26,2,1960,32,20.9
27,2,1960,35,20
28,2,1960,33.6,22.7
29,2,1960,30.6,23.9
1,3,1960,32.9,19
2,3,1960,30,18.5
3,3,1960,25.4,11.2
4,3,1960,28.3,11.6
5,3,1960,30,10.3
6,3,1960,30.8,12.6
7,3,1960,28.7,14.9
8,3,1960,23,17.2
9,3,1960,24.4,15.8
10,3,1960,26.1,10.9
11,3,1960,26.4,13.9
12,3,1960,27,13
13,3,1960,28.2,13
14,3,1960,28.5,12.2
15,3,1960,29.7,16.3
16,3,1960,29.5,17.2
17,3,1960,31.1,18.5
18,3,1960,24.6,17.1
19,3,1960,26,12.3
20,3,1960,28.4,14.4
21,3,1960,28.4,18
22,3,1960,27,15.9
23,3,1960,21.3,14.4
24,3,1960,27.4,12.7
25,3,1960,28.9,11.6
26,3,1960,24,19
27,3,1960,27.6,20
28,3,1960,25.6,16.2
29,3,1960,23.3,10.6
30,3,1960,17.2,14.1
31,3,1960,23,12.2
1,4,1960,25.4,12.6
2,4,1960,28.6,13.3
3,4,1960,22,13.2
4,4,1960,23.7,8.9
5,4,1960,26.5,12.7
6,4,1960,26.8,13.7
7,4,1960,27.5,12.4
8,4,1960,18.3,10.3
9,4,1960,20.6,3.7
10,4,1960,21.2,5
11,4,1960,21,7.9
12,4,1960,22.4,8.8
13,4,1960,24,15.7
14,4,1960,26.1,15.7
15,4,1960,21.8,15.3
16,4,1960,19,7.7
17,4,1960,21,6
18,4,1960,22.2,7.7
19,4,1960,25.2,13.9
20,4,1960,21.4,7.9
21,4,1960,27.4,10.7
22,4,1960,28,13.1
23,4,1960,27,14.3
24,4,1960,27.1,14.6
25,4,1960,19.6,8.9
26,4,1960,18.9,4.8
27,4,1960,18.2,7.5
28,4,1960,19.8,10.8
29,4,1960,20.6,3
30,4,1960,24,8.9
1,5,1960,18.5,5.6
2,5,1960,20.7,7.3
3,5,1960,24.6,5.9
4,5,1960,23,7.2
5,5,1960,24.5,7.5
6,5,1960,25.6,9.9
7,5,1960,24.2,9.7
8,5,1960,14.4,7.6
9,5,1960,14,2.1
10,5,1960,15.2,1.9
11,5,1960,16.6,-0.8
12,5,1960,18.5,-0.7
13,5,1960,19.2,5.8
14,5,1960,20.6,5.2
15,5,1960,22,4.8
16,5,1960,22.1,6.3
17,5,1960,22.9,12.5
18,5,1960,16.1,8.8
19,5,1960,11.4,3.9
20,5,1960,11.9,-1.1
21,5,1960,16.2,7
22,5,1960,15.6,-1.7
23,5,1960,19.5,4.3
24,5,1960,21.2,7.5
25,5,1960,21.3,6.2
26,5,1960,21.4,8
27,5,1960,24.3,8.4
28,5,1960,19.8,6.4
29,5,1960,17.6,3
30,5,1960,15.2,11.4
31,5,1960,18,7.3
1,6,1960,19,6.8
2,6,1960,20.2,9.5
3,6,1960,19.7,10.4
4,6,1960,16.4,7.3
5,6,1960,18,10.2
6,6,1960,22.4,7.1
7,6,1960,22.2,16.9
8,6,1960,16.9,10
9,6,1960,11.1,4
10,6,1960,15.6,3.7
11,6,1960,14.2,3.8
12,6,1960,15,9.2
13,6,1960,14.6,10.5
14,6,1960,11.9,4.9
15,6,1960,11.4,2.7
16,6,1960,13.6,9.6
17,6,1960,13.1,5.2
18,6,1960,15.2,2.1
19,6,1960,16,7.1
20,6,1960,17.1,5.7
21,6,1960,12.5,5
22,6,1960,10.7,5.7
23,6,1960,9.2,0.5
24,6,1960,8.7,-2.7
25,6,1960,7.4,-2
26,6,1960,9.8,2.4
27,6,1960,11.5,-0.8
28,6,1960,12,0.9
29,6,1960,10.6,2.7
30,6,1960,18.4,-0.7
1,7,1960,17.1,9.3
2,7,1960,14.5,5.8
3,7,1960,18.2,10.4
4,7,1960,11.5,5.1
5,7,1960,9.2,2.3
6,7,1960,6,3.5
7,7,1960,7.4,0
8,7,1960,10.5,-1.8
9,7,1960,13.6,0.4
10,7,1960,13.9,-2.5
11,7,1960,14.7,2.3
12,7,1960,19.6,7.9
13,7,1960,17,14.5
14,7,1960,18.8,13.1
15,7,1960,13.4,6.8
16,7,1960,9.1,6.1
17,7,1960,16.4,2.9
18,7,1960,13,4.1
19,7,1960,12.4,-1.8
20,7,1960,15.6,2.3
21,7,1960,15.6,1
22,7,1960,14.4,0.9
23,7,1960,13.4,1.4
24,7,1960,16.6,8.5
25,7,1960,17.1,10.9
26,7,1960,15.6,14.1
27,7,1960,18.6,12.8
28,7,1960,17,15.2
29,7,1960,16.9,8.5
30,7,1960,12.5,5.4
31,7,1960,10,-2
1,8,1960,9.8,-2.8
2,8,1960,13.6,1.7
